cert_expiry_days,signature_algorithm,key_length,revocation_status,trusted_CA,label
112,1,2048,1,1,0
445,1,4096,1,1,0
870,1,1024,1,0,0
280,1,4096,0,1,1
116,0,2048,0,0,0
81,0,1024,1,1,0
710,1,1024,0,0,0
30,0,1024,0,1,0
624,2,4096,0,0,0
131,1,2048,0,0,0
476,2,1024,0,1,0
224,2,1024,0,0,0
340,1,1024,1,0,0
468,0,4096,1,1,0
97,2,4096,0,0,0
382,1,2048,1,0,0
109,2,4096,1,0,0
881,2,1024,1,1,0
673,2,2048,1,0,0
140,2,1024,0,1,0
671,0,1024,1,0,0
318,2,4096,1,0,0
779,2,2048,0,0,0
353,2,4096,0,1,1
501,0,4096,1,0,0
423,2,2048,1,0,0
815,2,1024,1,1,0
395,0,1024,1,0,0
201,0,2048,1,1,0
965,0,1024,1,1,0
286,2,2048,0,0,0
170,0,2048,1,1,0
469,0,4096,1,0,0
323,2,2048,0,1,1
31,0,4096,0,1,0
262,2,1024,0,0,0
757,1,1024,0,1,0
866,0,1024,1,1,0
570,1,1024,1,1,0
484,2,4096,1,1,0
68,0,1024,1,1,0
520,2,2048,1,0,0
691,1,2048,1,1,0
485,2,2048,0,0,0
709,0,4096,1,1,0
985,0,1024,0,0,0
792,1,1024,0,0,0
199,2,1024,1,1,0
967,0,4096,0,1,0
696,1,2048,1,1,0
967,0,2048,0,0,0
572,0,1024,1,1,0
885,2,2048,0,0,0
576,0,2048,1,0,0
253,2,4096,1,0,0
841,0,4096,1,1,0
514,1,4096,1,1,0
140,0,4096,1,0,0
494,2,1024,0,0,0
828,2,4096,0,1,1
656,1,2048,0,0,0
30,0,1024,1,1,0
850,0,2048,0,0,0
176,1,2048,1,1,0
283,0,2048,1,0,0
397,0,4096,0,1,0
610,2,4096,0,0,0
325,0,1024,1,1,0
23,0,1024,0,1,0
251,1,4096,1,0,0
786,1,2048,1,0,0
355,2,1024,1,1,0
574,0,4096,1,0,0
907,0,4096,1,1,0
349,0,4096,0,0,0
101,2,2048,0,1,0
376,2,4096,1,1,0
965,1,4096,1,1,0
464,2,4096,0,1,1
437,0,4096,0,1,0
518,0,1024,1,1,0
785,2,1024,0,0,0
952,0,4096,1,0,0
44,0,2048,0,0,0
215,2,1024,1,1,0
90,2,4096,0,1,0
941,0,1024,1,1,0
571,0,1024,0,1,0
881,0,2048,0,0,0
397,1,4096,1,0,0
11,1,4096,0,1,0
399,1,2048,1,0,0
575,2,2048,0,0,0
115,1,4096,1,1,0
781,2,4096,0,0,0
831,2,2048,1,1,0
486,1,1024,0,0,0
712,1,1024,1,1,0
411,1,2048,0,1,1
739,0,1024,1,1,0
